Product Name,Colors,Pic Urls,Care Instructions
Zip-through sweatshirt in interlock-piquè with Tokyo artwork,"White , Black","https://images.hugoboss.com/is/image/boss/hbeu50432316_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit chinos in stretch cotton gabardine,"Grey , Dark Blue , Dark Blue , Dark Blue , Beige , Dark Brown , White , Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50325944_069_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Regular-fit polo shirt in cotton blend with S.Café®,White,"https://images.hugoboss.com/is/image/boss/hbeu50418451_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit chinos in travel-friendly stretch twill,"Black , Dark Blue , Grey","https://images.hugoboss.com/is/image/boss/hbeu50420063_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning F"
Cotton polo shirt with asymmetric collar stripes,"Yellow , Turquoise","https://images.hugoboss.com/is/image/boss/hbeu50429987_735_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Crew-neck T-shirt in single-jersey cotton,"Black , Red , Purple , Light Blue , Turquoise , Dark Blue , Green , Light Green , White , Light Grey","https://images.hugoboss.com/is/image/boss/hbeu50389364_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit polo shirt in washed cotton piqué,"Blue , Turquoise , Blue , Blue , Dark Blue , Light Green , Light Green , Khaki , Light Beige , Light Brown , White , Light Grey , Light Grey , Light Grey , Grey , Dark Grey , Brown , Black , Orange , Yellow , Yellow , light pink , Dark pink , Red , Red , Red , Dark Red , Light Purple , Purple , Dark Purple , Turquoise , Light Blue , Light Blue , Light Blue , Turquoise","https://images.hugoboss.com/is/image/boss/hbeu50378365_435_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Honeycomb-structure cotton polo shirt with denim-look detailing,"Grey , Dark Blue , White","https://images.hugoboss.com/is/image/boss/hbeu50432072_034_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
African-cotton T-shirt with curved-logo print,"Dark Grey , Pink , Dark Blue , Dark Blue , White","https://images.hugoboss.com/is/image/boss/hbeu50431773_020_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit trousers in stretch bouclé with zip trims,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50429528_405_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Zip-through hoodie in cotton terry with logo pocket,"Grey , Khaki","https://images.hugoboss.com/is/image/boss/hbeu50424109_081_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit chino shorts in double-dyed stretch satin,"Dark Blue , Dark Orange , Turquoise , Dark Blue , Light Green , Green , Beige , Beige , Grey","https://images.hugoboss.com/is/image/boss/hbeu50403772_414_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit jogging trousers with curved logo,"Light Green , Red , Blue , Dark Blue , Dark Green , Light Grey , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50418726_350_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit polo shirt with micro motifs,Black,"https://images.hugoboss.com/is/image/boss/hbeu50421005_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit trousers in washed stretch cotton,"Light Grey , Blue , Green , White","https://images.hugoboss.com/is/image/boss/hbeu50412168_072_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Tumble Dry Low Heat , Iron Low Heat , Gentle chemical dry cleaning P"
Double-faced sweatshirt with layered metallic logo,White,"https://images.hugoboss.com/is/image/boss/hbeu50426220_112_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit polo shirt in stretch-piqué with S.Café®,"White , Black","https://images.hugoboss.com/is/image/boss/hbeu50424190_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-piqué polo shirt with three-colour micro pattern,Blue,"https://images.hugoboss.com/is/image/boss/hbeu50423480_434_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit polo shirt with reversed-logo print,"Black , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50425019_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit T-shirt in waffle-structured cotton,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50425245_407_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Pure-cotton T-shirt with PVC-free photographic print,"Dark Blue , Blue , White","https://images.hugoboss.com/is/image/boss/hbeu50427897_404_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Polo shirt in double-spun two-tone cotton,"Blue , Orange","https://images.hugoboss.com/is/image/boss/hbeu50423874_404_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit polo shirt in stretch piqué with curved logo,"Blue , Yellow , Pink , Red , Light Blue , Blue , Dark Blue , Light Blue , Dark Blue , Dark Blue , Green , Khaki , Dark Green , White , Light Grey , Black , Black","https://images.hugoboss.com/is/image/boss/hbeu50412675_436_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Stretch-cotton T-shirt with layered metallic logo,"White , Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50425693_112_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit polo shirt in washed cotton piqué,"Grey , Turquoise , Blue , Blue , Blue , Dark Blue , Light Green , Light Green , Khaki , Light Beige , Light Brown , White , Light Grey , Light Grey , Light Grey , Dark Grey , Brown , Black , Orange , Yellow , Yellow , light pink , Dark pink , Red , Red , Red , Dark Red , Light Purple , Purple , Dark Purple , Turquoise , Light Blue , Light Blue , Light Blue , Turquoise","https://images.hugoboss.com/is/image/boss/hbeu50378365_032_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit sweatshirt with large curved logo,"Black , Dark Blue , Grey","https://images.hugoboss.com/is/image/boss/hbeu50421597_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit trousers in overdyed stretch-cotton gabardine,"Dark Blue , Khaki , Black","https://images.hugoboss.com/is/image/boss/hbeu50426786_405_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Relaxed-fit sweatshirt in cotton terry with sleeve logo,"Dark Blue , White , Light Beige , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50426608_404_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit blouson-style jacket in lamb leather,Dark Brown,"https://images.hugoboss.com/is/image/boss/hbeu50418989_204_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Do Not Iron , Gentle chemical dry cleaning F"
Slim-fit polo shirt in mercerised mouliné cotton,"Dark Blue , Dark Red","https://images.hugoboss.com/is/image/boss/hbeu50420985_402_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Cotton-jersey polo shirt with checked jacquard collar,"Grey , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50421481_034_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Logo-print T-shirt in stretch-cotton interlock jersey,"Turquoise , Dark Blue , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50419921_311_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit T-shirt in cotton with melange collar,Black,"https://images.hugoboss.com/is/image/boss/hbeu50419646_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Stretch-cotton T-shirt with contrast stitching and curved logo,"Grey , Dark Red , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50419923_031_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit T-shirt with new-season artwork,"White , Black","https://images.hugoboss.com/is/image/boss/hbeu50418533_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Relaxed-fit T-shirt in eco-friendly Recot2® cotton,"Pink , Light Orange , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50425772_672_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-piqué polo shirt with striped collar and cuffs,"White , Red , Blue , Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50198254_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit polo shirt with colour-bock stripes,"White , Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50420905_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton jersey T-shirt with curved logo,"Dark Blue , light pink , Red , Red , Light Blue , Blue , Dark Blue , Green , Dark Green , Beige , White , Light Grey , Light Grey , Black , Black , Black","https://images.hugoboss.com/is/image/boss/hbeu50412363_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-piqué polo shirt with logo undercollar,"Red , Dark Orange , Yellow , Dark Red , Dark Red , Purple , Light Blue , Turquoise , Blue , Dark Blue , Dark Blue , Dark Blue , Dark Blue , Dark Blue , Green , White , Light Grey , Light Grey , Grey , Black , Black , Black","https://images.hugoboss.com/is/image/boss/hbeu50398302_654_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit trousers with drawstring in piqué jersey,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50423603_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Relaxed-fit trousers in Italian stretch-cotton twill,"Dark Brown , Dark Blue , Silver","https://images.hugoboss.com/is/image/boss/hbeu50425617_207_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Relaxed-fit jersey shorts with striped-tape trims,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50427966_405_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit trousers in virgin wool with natural stretch,"Blue , Dark Blue , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50379583_420_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Regular-fit chinos in stretch cotton gabardine,"Black , Dark Blue , Dark Blue , Dark Blue , Beige , Dark Brown , White , Grey , Grey , Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50325944_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Extra-slim-fit trousers in melange virgin wool,Turquoise,"https://images.hugoboss.com/is/image/boss/hbeu50428146_444_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Cuffed jogging trousers in French terry with contrast details,Khaki,"https://images.hugoboss.com/is/image/boss/hbeu50424115_251_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Extra-slim-fit trousers in stretch Oxford cotton,Black,"https://images.hugoboss.com/is/image/boss/hbeu50332479_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Relaxed-fit cropped trousers in stretch virgin wool,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50427311_402_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Extra-slim-fit trousers in stretch cotton,Light Orange,"https://images.hugoboss.com/is/image/boss/hbeu50428190_830_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Slim-fit trousers in a melange virgin-wool blend,"Dark Blue , Light Grey","https://images.hugoboss.com/is/image/boss/hbeu50422590_402_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit casual chinos in brushed stretch cotton,"Dark Blue , Dark Orange , Red , Blue , Light Blue , Light Blue , Turquoise , Dark Blue , Dark Blue , Dark Blue , Dark Blue , Green , Green , Dark Green , Dark Green , Brown , Beige , Light Beige , Beige , Khaki , Beige , Beige , Light Grey , Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50379152_414_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Cotton-blend sweatshirt with repeat-logo jacquard insert,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50425026_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Relaxed-fit T-shirt with photographic and suede print,Black,"https://images.hugoboss.com/is/image/boss/hbeu50421935_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit chinos in stretch-cotton gabardine,"Light Beige , Dark Red , Dark Blue , Beige , Dark Brown , White , White , Light Grey , Beige , Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50410310_294_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Regular-fit sweatshirt with curved logo and adjustable hood,"Green , Red , Blue , Dark Blue , Dark Green , Light Grey , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50421591_350_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit polo shirt with contrast panels,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50418452_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Zip-through sweatshirt in a cotton blend,"Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50423715_406_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit polo shirt in stretch-piqué with S.Café®,"Black , White","https://images.hugoboss.com/is/image/boss/hbeu50424190_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-piqué polo shirt with stripe-detail collar,"Light Blue , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50431447_455_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Zip-through jersey jacket in mouliné cotton terry,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50423334_404_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit shorts in a structured stretch-cotton blend,Beige,"https://images.hugoboss.com/is/image/boss/hbeu50426226_266_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit sweatshirt with curved logo and adjustable hood,"Light Grey , Red , Blue , Dark Blue , Green , Dark Green , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50421591_057_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Tapered-fit chinos in a cotton blend,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50425532_407_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Do not chemical dry clean"
Water-repellent hooded raincoat with logo drawcords,Black,"https://images.hugoboss.com/is/image/boss/hbeu50421681_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Extra-slim-fit trousers with patterned side stripe,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50422907_410_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Slim-fit trousers in overdyed stretch-cotton twill,"Dark Grey , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50420406_025_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-jersey T-shirt with curved-logo print,"Dark Blue , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50424014_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit jacket in goat suede with quilted shoulders,Brown,"https://images.hugoboss.com/is/image/boss/hbeu50425499_029_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Do Not Iron , Gentle chemical dry cleaning F"
Regular-fit polo shirt in cotton with contrast tipping,"Dark Blue , Red","https://images.hugoboss.com/is/image/boss/hbeu50424202_402_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit sweatshirt with curved logo,"Dark Blue , Light Grey , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50418725_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit T-shirt with deconstructed-logo artwork,Green,"https://images.hugoboss.com/is/image/boss/hbeu50418551_350_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Polo shirt in interlock cotton with golden accents,"Black , Red","https://images.hugoboss.com/is/image/boss/hbeu50419345_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit polo shirt with seasonal artwork,"Blue , Grey","https://images.hugoboss.com/is/image/boss/hbeu50420945_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Crew-neck T-shirt in cotton with mixed-print artwork,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50421970_404_100?wid=462&qlt=80 , ","careinstructioncode.369 , 30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Relaxed-fit sweatshirt in French terry with sleeve badge,"Red , Dark Blue , Brown","https://images.hugoboss.com/is/image/boss/hbeu50402392_614_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit polo shirt in Pima-cotton piqué,"Green , Light Blue , Dark Blue , White , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50303542_350_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit polo shirt with mesh-effect logo print,Black,"https://images.hugoboss.com/is/image/boss/hbeu50424764_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Crew-neck T-shirt in single-jersey cotton,"Red , Purple , Light Blue , Turquoise , Dark Blue , Green , Light Green , White , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50389364_648_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Cotton-jersey T-shirt with new-season logo,"White , Red , Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50418532_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit chinos in micro-patterned stretch cotton,Grey,"https://images.hugoboss.com/is/image/boss/hbeu50420060_061_100?wid=462&qlt=80 , ","careinstructioncode.347 , 30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Regular-fit sweatshirt with curved logo,"Grey , Dark Blue , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50418725_031_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit trousers in virgin-wool poplin,"Black , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50379578_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Cotton-jersey T-shirt with new-season logo,"Red , Blue , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50418532_653_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton T-shirt with collection-themed graphic print,"White , Dark Blue , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50421975_040_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit casual chinos in brushed stretch cotton,"Grey , Blue , Light Blue , Light Blue , Turquoise , Dark Blue , Dark Blue , Green , Green , Light Brown , Light Beige , Light Brown , Beige , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50379154_027_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Relaxed-fit plastic-free sweatshirt with feature hood lining,"White , Black","https://images.hugoboss.com/is/image/boss/hbeu50421984_101_100?wid=462&qlt=80 , ","careinstructioncode.369 , 30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit polo shirt with all-over print,"White , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50423322_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-blend sweatshirt with curved logo embroidery,"Light Grey , Red , Blue , Dark Blue , Dark Green , Dark Green , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50418718_057_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit polo shirt in cotton with reflective details,"Dark Green , Pink , Dark Blue , White","https://images.hugoboss.com/is/image/boss/hbeu50435671_305_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Plastic-free relaxed-fit T-shirt in pure cotton,"Black , White","https://images.hugoboss.com/is/image/boss/hbeu50421982_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit polo shirt in a Pima-cotton blend,"Dark Blue , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50388956_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Jogging trousers with side panels and patch pocket,Black,"https://images.hugoboss.com/is/image/boss/hbeu50425816_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit polo shirt in a Pima-cotton blend,"Black , Dark Blue , White","https://images.hugoboss.com/is/image/boss/hbeu50388956_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit hooded sweatshirt with fixed insert,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50424287_402_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit polo shirt in cotton with reflective details,"Dark Blue , Pink , Dark Green , White","https://images.hugoboss.com/is/image/boss/hbeu50435671_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
